"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"1","0","298","0","9","0","1","2","1","1","0","92","9","1","0","1","2","1","40","0","1","1","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0",1
"0","0","105","0","2","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0
"0","0","11","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","56","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","23","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","140","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"16","0","366","1","12","1","1","2","1","1","11","178","2","1","1","8","7","3","100","1","1","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","101","0","0","0","0","0","0","0","0","19","1","0","0","0","2","0","3","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0",1
"0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","136","0","2","0","0","0","0","0","0","39","1","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","72","0","0","0","0","0","0","0","0","19","4","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","259","0","0","0","1","9","1","1","0","56","0","2","0","0","1","0","39","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","80","0","0","0","0","0","0","0","0","16","1","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","119","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"11","0","195","0","10","0","1","2","1","1","9","78","0","1","0","1","2","1","49","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","37","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","64","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","845","0","19","0","2","23","4","2","0","126","15","4","0","0","3","0","66","0","1","15","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","123","0","12","0","1","2","1","1","0","43","0","1","0","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"5","0","127","0","2","0","0","0","0","0","4","49","1","0","0","3","1","1","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"2","0","339","0","0","0","1","3","2","1","1","111","10","2","0","1","3","1","54","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","180","0","0","0","1","2","1","1","0","32","0","1","0","0","1","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","53","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",0
"0","0","201","0","1","0","1","2","0","0","0","28","10","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",1
"1","0","183","0","1","0","1","4","1","1","0","52","1","1","0","1","3","1","17","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","158","0","0","0","1","2","1","1","0","33","7","1","0","0","0","0","9","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","208","0","16","0","1","2","1","1","0","41","4","1","0","0","2","0","32","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","269","0","5","0","0","0","0","0","0","90","7","0","0","0","1","0","100","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0",1
"1","0","108","0","3","0","0","0","0","0","0","19","0","0","0","2","0","1","20","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","176","0","16","0","1","1","0","0","0","36","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
